cmo,cmo_label,official_n_destinations,destinations_4d,labels_sinco,n_values_3d,consensus_3d,n_values_2d,consensus_2d,n_values_1d,consensus_1d,all_have_isco88,n_values_isco88,consensus_isco88,n_values_supervision,consensus_supervision,records,population
5481,"Cargadores, abastecedores, empacadores manuales y similares en la fabricación de químicos, petroquímica, hule, caucho y plástico",1,9233,"Trabajadores de apoyo en la industria química, petroquímica y plásticos",1,923,1,92,1,9,TRUE,1,9322,1,0,213,78940
2111,"Presidentes, directores y gerentes generales en instituciones, negocios y empresas privadas",1,1122,Presidentes y directores generales en instituciones y empresas privadas,1,112,1,11,1,1,TRUE,1,1110,1,0,235,78860
8110,Lavanderos,1,9641,Lavanderos en establecimientos,1,964,1,96,1,9,TRUE,1,9133,1,0,350,76663
5290,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,7999,"Otros trabajadores artesanales, no clasificados anteriormente",1,799,1,79,1,7,TRUE,1,7332,1,0,278,73232
8123,"Mozos de hotel, botones y similares",2,9622|9623,Recamaristas y camaristas || Mozos de hotel y restaurante,1,962,1,96,1,9,TRUE,2,NA,1,0,292,69911
1164,Sicólogos (psicólogos),1,2142,Psicólogos,1,214,1,21,1,2,TRUE,1,2445,1,0,258,69030
5266,"Instaladores de materiales de impermeabilización, vidrio, papel tapiz, alfombra y otros materiales en la construcción",1,7133,"Instaladores de material aislante, de impermeabilización, vidrio y otros materiales",1,713,1,71,1,7,TRUE,1,7134,1,0,257,68699
5470,"Ayudantes, peones y similares en la generación de energía, la electrónica y las telecomunicaciones",1,9232,"Trabajadores de apoyo en la industria eléctrica, electrónica y comunicaciones",1,923,1,92,1,9,TRUE,1,9322,1,0,249,68269
5100,"Jefes, coordinadores y similares en la fabricación de alimentos, bebidas y productos de tabaco",2,1614|5101,"Coordinadores y jefes de área en producción manufacturera || Supervisores en la preparación y servicio de alimentos y bebidas, así como en servicios de esparcimiento y de hotelería",2,NA,2,NA,2,NA,TRUE,2,NA,2,NA,210,65401
8140,"Trabajadores en servicios de alquiler de bienes muebles (autos, vajillas, maquinaria, etcétera",1,4312,"Trabajadores en el alquiler de bienes muebles (loza, películas, video juegos, etcétera)",1,431,1,43,1,4,TRUE,1,3413,1,0,245,64957
5140,"Jefes, coordinadores y similares en la fabricación metalúrgica y en la fabricación de productos eléctricos y electrónicos, la reparación y mantenimiento de maquinaria y productos metálicos y de precisión",1,1614,Coordinadores y jefes de área en producción manufacturera,1,161,1,16,1,1,TRUE,1,1312,1,0,181,64190
6121,"Jefes de departamento, coordinadores y supervisores en la coordinación del transporte",4,1623|2661|2662|8301,"Coordinadores y jefes de área en servicios de transporte || Controladores de tráfico aéreo || Controladores de tráfico de otros transportes (terrestre, ferroviario y marítimo) || Supervisores de conductores de transporte y de maquinaria móvil",3,NA,3,NA,3,NA,TRUE,3,NA,2,NA,194,63894
7120,Demostradores,1,4231,Demostradores y promotores,1,423,1,42,1,4,TRUE,1,5220,1,0,244,63251
1364,Profesores e instructores en actividades deportivas,1,2716,Profesores en educación física y deporte,1,271,1,27,1,2,TRUE,1,2320,1,0,220,62282
7133,Agente de seguros,1,4222,Agentes de seguros y servicios financieros (ejecutivos de cuenta),1,422,1,42,1,4,TRUE,1,3412,1,0,208,62185
