stage,function_name,classification,required_sinco_level,additional_requirements,applicable,records_total,population_total,records_classified,records_pending,population_classified,population_pending,record_coverage,population_coverage
all_plus_consensus_official,procesar_clases_damian,alta_damian,sinco4d,Derivada de clase_egp13_damian,TRUE,170325,48766853,166739,3586,47825305,941548,0.9789461323939528,0.98069286939635
care_first_destination,procesar_vars_laborales,skill_level,sinco1d,Solo requiere SINCO 1d,TRUE,170325,48766853,170106,219,48710051,56802,0.9987142228093351,0.9988352334320199
care_first_destination,procesar_vars_laborales,mismatch,sinco1d,Tambien requiere escolaridad valida,TRUE,170325,48766853,170021,304,48686825,80028,0.9982151768677529,0.998358967309209
care_first_destination,calcular_desajuste_estadistico,mismatch2,sinco1d,Tambien requiere anios_es y referencia estimable,TRUE,170325,48766853,169845,480,48628301,138552,0.9971818582122413,0.997158889871364
care_first_destination,procesar_clases_damian,grupo_ocu9_damian,sinco1d (4d preferido para clase),Solo requiere SINCO 1d,TRUE,170325,48766853,170106,219,48710051,56802,0.9987142228093351,0.9988352334320199
care_first_destination,procesar_clases_damian,isco88_damian,sinco4d,Requiere correspondencia SINCO-ISCO88,TRUE,170325,48766853,169676,649,48610450,156403,0.9961896374578013,0.996792842056058
care_first_destination,procesar_clases_damian,clase_ocu_damian,sinco1d (4d preferido para clase),Puede recuperar por gran grupo SINCO,TRUE,170325,48766853,170106,219,48710051,56802,0.9987142228093351,0.9988352334320199
care_first_destination,procesar_clases_damian,calificada_damian,sinco1d (4d preferido para clase),Derivada de clase_ocu_damian,TRUE,170325,48766853,170106,219,48710051,56802,0.9987142228093351,0.9988352334320199
care_first_destination,procesar_clases_damian,manual_damian,sinco1d (4d preferido para clase),Derivada de clase_ocu_damian,TRUE,170325,48766853,170106,219,48710051,56802,0.9987142228093351,0.9988352334320199
care_first_destination,procesar_clases_damian,supervisa_damian,sinco4d,Solo requiere SINCO 4d,TRUE,170325,48766853,170106,219,48710051,56802,0.9987142228093351,0.9988352334320199
care_first_destination,procesar_clases_damian,clase_egp13_damian,sinco4d,Tambien requiere posicion y tamano del establecimiento,TRUE,170325,48766853,170080,245,48701478,65375,0.9985615734624982,0.9986594377947661
care_first_destination,procesar_clases_damian,clase_egp7_damian,sinco4d,Derivada de clase_egp13_damian,TRUE,170325,48766853,170080,245,48701478,65375,0.9985615734624982,0.9986594377947661
care_first_destination,procesar_clases_damian,clase_alt6_damian,sinco4d,Derivada de clase_egp13_damian,TRUE,170325,48766853,170080,245,48701478,65375,0.9985615734624982,0.9986594377947661
care_first_destination,procesar_clases_damian,macro_egp4_damian,sinco4d,Derivada de clase_egp13_damian,TRUE,170325,48766853,170080,245,48701478,65375,0.9985615734624982,0.9986594377947661
care_first_destination,procesar_clases_damian,macro_solis4_damian,sinco4d,Derivada de clase_egp13_damian,TRUE,170325,48766853,170080,245,48701478,65375,0.9985615734624982,0.9986594377947661
care_first_destination,procesar_clases_damian,egp3_damian,sinco4d,Derivada de clase_egp13_damian,TRUE,170325,48766853,170080,245,48701478,65375,0.9985615734624982,0.9986594377947661
care_first_destination,procesar_clases_damian,baja_damian,sinco4d,Derivada de clase_egp13_damian,TRUE,170325,48766853,170080,245,48701478,65375,0.9985615734624982,0.9986594377947661
care_first_destination,procesar_clases_damian,alta_damian,sinco4d,Derivada de clase_egp13_damian,TRUE,170325,48766853,170080,245,48701478,65375,0.9985615734624982,0.9986594377947661
puente_cuidado_propio,procesar_cuidado_remunerado,codigo_ocupacion_armonizado,sinco3d,Puente propio CMO a SINCO 3d,TRUE,170325,48766853,170087,238,48698565,68288,0.9986026713635696,0.9985997045985313
puente_cuidado_propio,procesar_cuidado_remunerado,trabajo_cuidado_mercado,sinco3d,SINCO 3d y actividad SCIAN-Hogares,TRUE,170325,48766853,170067,258,48688367,78486,0.9984852487890797,0.9983905871473806
all_accepted_enoe,clasificar_susceptibilidad_teletrabajo,susceptible_teletrabajo,sinco4d,No comparable antes de 2012-T3,FALSE,170325,48766853,NA,NA,NA,NA,NA,NA
