cmo,classification,old_value,new_value,n,w_pre,w_post,historical_target_official,forward,unique_forward,reverse,unique_reverse,train_n,validation_n,train_forward,validation_forward,train_reverse,validation_reverse,train_unique_forward,validation_unique_forward,train_unique_reverse,validation_unique_reverse,accepted,reason
1204,grupo_ocu9_damian,2,2,121,35000,35350,TRUE,0.6601905121192115,TRUE,1,TRUE,58,63,0.6096864035880928,0.7152317880794702,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel
6160,grupo_ocu9_damian,1,2,14,2799,2702,TRUE,0.05514618961305067,FALSE,1,TRUE,9,5,0.08188259994751115,0.03323295332329533,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,clasificaciones_discrepantes
6221,grupo_ocu9_damian,3,9,26,8601,8416,TRUE,0.08601946214083549,FALSE,1,TRUE,14,12,0.0709812108559499,0.09741732449585963,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,clasificaciones_discrepantes
1390,grupo_ocu9_damian,2,2,27,3975,4079,TRUE,0.8898589657488247,TRUE,1,TRUE,16,11,0.9101600784057498,0.8456614509246089,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel
1412,grupo_ocu9_damian,2,2,73,17270,18329,TRUE,0.9235788010054014,TRUE,1,TRUE,33,40,1,0.8670944940476191,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel
5248,grupo_ocu9_damian,7,7,119,33608,33867,TRUE,0.9186278529451961,TRUE,1,TRUE,60,59,0.9053413841151882,0.9376286947857855,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel
1363,grupo_ocu9_damian,2,8,3,502,509,TRUE,0.026353089401018426,FALSE,1,TRUE,NA,3,NA,0.059156257365071886,NA,1,NA,FALSE,NA,TRUE,FALSE,clasificaciones_discrepantes
5247,grupo_ocu9_damian,2,2,7,1967,1985,TRUE,0.4385730211817168,FALSE,1,TRUE,5,2,0.933579335793358,0.3289760348583878,1,1,TRUE,FALSE,TRUE,TRUE,FALSE,muestra_insuficiente
1103,grupo_ocu9_damian,2,2,11,2068,2068,TRUE,0.8112985484503727,TRUE,1,TRUE,6,5,1,0.6778298727394507,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel
6270,grupo_ocu9_damian,3,2,353,67284,67816,TRUE,0.23075261073100467,FALSE,1,TRUE,178,175,0.2452254943118862,0.21637658768679674,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,clasificaciones_discrepantes
7201,grupo_ocu9_damian,4,9,401,131572,131214,TRUE,0.4551058104060159,FALSE,1,TRUE,192,209,0.4788083685215475,0.4308833917318842,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,clasificaciones_discrepantes
2121,grupo_ocu9_damian,1,1,111,32021,33306,TRUE,0.6257279087036386,TRUE,1,TRUE,57,54,0.628355498846739,0.6239893496119752,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel
