p3coe,pos_ocu,emple7c,p4a,sinco_original,egp_original,egp_oficial,revision,registros,poblacion,cmo_label,destinos,etiquetas_destinos
8150,1,6,9314,3222,4,NA,requiere_revision_semantica,4,1048,"Trabajadores de apoyo para la realización de espectáculos, turismo y deporte",3222|4233|5251|5254|9713,"3222 Guías de turismo en museos, casinos, parques, cines y otros centros recreativos || 4233 Modelos de moda, arte y publicidad || 5251 Astrólogos, adivinadores y afines || 5254 Entrenadores de animales y ocupaciones relacionadas con el cuidado de mascotas || 9713 Trabajadores de apoyo a la realización de espectáculos, deportes y en parques de diversiones"
6150,1,5,6112,1721,1,1,original_coincide_con_consenso_oficial,1,1038,"Jefes de departamento, coordinadores y supervisores en servicios culturales y de esparcimiento",1721|1722,"1721 Coordinadores y jefes de área en actividades artísticas, de cine, teatro y afines || 1722 Coordinadores y jefes de área en museos, cines, deportivos y servicios culturales"
2121,2,3,5411,1211,2,NA,requiere_revision_semantica,7,1032,"Directores, gerentes y administradores de área o establecimientos de finanzas, contabilidad, recursos humanos, administración e impartición de justicia",1211|1212|1224|1321,"1211 Directores y gerentes en administración, recursos humanos y mercadotecnia || 1212 Directores y gerentes en servicios contables, financieros, banca y seguros || 1224 Jueces de juzgado, directores y gerentes en servicios legales y procuración de justicia || 1321 Directores y gerentes en informática"
2124,1,6,8112,1312,1,1,original_coincide_con_consenso_oficial,3,1030,"Directores, gerentes y administradores de área o establecimientos en actividades de producción en industrias manufactureras, en la construcción y los servicios de reparación y mantenimiento",1312|1313|1314|1315,"1312 Directores y gerentes en producción minera, petrolera y gas || 1313 Directores y gerentes en generación y provisión de energía eléctrica y agua || 1314 Directores y gerentes en producción manufacturera || 1315 Directores y gerentes en construcción, reparación y mantenimiento"
5190,2,2,2382,NA,NA,NA,original_tampoco_resuelve,1,1030,NA,NA,NA
5170,1,6,2370,1613,1,NA,requiere_revision_semantica,2,1025,"Jefes, coordinadores y similares en la generación de energía, la instalación, reparación y mantenimiento de equipo eléctrico y de telecomunicaciones",1613|8101,1613 Coordinadores y jefes de área en generación y provisión de energía eléctrica y agua || 8101 Supervisores de operadores de maquinaria industrial
6150,1,6,2381,1721,1,1,original_coincide_con_consenso_oficial,1,1025,"Jefes de departamento, coordinadores y supervisores en servicios culturales y de esparcimiento",1721|1722,"1721 Coordinadores y jefes de área en actividades artísticas, de cine, teatro y afines || 1722 Coordinadores y jefes de área en museos, cines, deportivos y servicios culturales"
7201,3,1,7222,4224,3,NA,requiere_revision_semantica,3,1019,Vendedores ambulantes de artículos diversos,4224|9512|9661|9663,4224 Vendedores por catálogo || 9512 Vendedores ambulantes de artículos diversos (excluyendo los de venta de alimentos) || 9661 Recolectores de basura y material reciclable || 9663 Recolectores de otros materiales
1204,1,6,3310,2621,2,NA,requiere_revision_semantica,5,1018,"Técnicos en ingeniería química, industrial y mecánica",2621|2631|2633|2635|2637|2645,"2621 Auxiliares y técnicos industriales y químicos || 2631 Técnicos en mantenimiento y reparación de vehículos de motor || 2633 Técnicos en mantenimiento y reparación de maquinaria e instrumentos industriales || 2635 Técnicos en mantenimiento y reparación de instrumentos de precisión y musicales || 2637 Técnicos en la instalación, reparación y mantenimiento de equipos de refrigeración, climas y aire acondicionado || 2645 Técnicos en reparación de equipos electromecánicos"
1250,1,2,6111,2531,3,NA,requiere_revision_semantica,1,1018,Técnicos en ciencias sociales,2531|2532|2711,2531 Auxiliares en ciencias sociales y humanistas || 2532 Auxiliares en servicios jurídicos || 2711 Auxiliares y técnicos en pedagogía y en educación
