cmo,aux,old_value,new_value,n,w1,w2,old_official,forward,unique_forward,reverse,unique_reverse,train_n,validation_n,train_forward,validation_forward,train_reverse,validation_reverse,train_unique_forward,validation_unique_forward,train_unique_reverse,validation_unique_reverse,feature,passes,rescata_original,motivo
7201,713,3,11,1,117,91,TRUE,1,TRUE,1,TRUE,1,NA,1,NA,1,NA,TRUE,NA,TRUE,NA,p4a3,FALSE,FALSE,muestra_insuficiente
6110,461,1,3,1,248,256,TRUE,1,TRUE,1,TRUE,1,NA,1,NA,1,NA,TRUE,NA,TRUE,NA,p4a3,FALSE,FALSE,muestra_insuficiente
5141,488,2,2,1,138,106,TRUE,1,TRUE,1,TRUE,1,NA,1,NA,1,NA,TRUE,NA,TRUE,NA,p4a3,FALSE,TRUE,muestra_insuficiente
1230,221,2,3,1,455,362,TRUE,0.7446808510638298,TRUE,1,TRUE,1,NA,0.7446808510638298,NA,1,NA,TRUE,NA,TRUE,NA,p4a3,FALSE,FALSE,muestra_insuficiente
1230,332,2,8,1,62,58,TRUE,1,TRUE,1,TRUE,NA,1,NA,1,NA,1,NA,TRUE,NA,TRUE,p4a3,FALSE,FALSE,muestra_insuficiente
6110,462,1,8,1,144,146,TRUE,0.015137180700094607,FALSE,1,TRUE,NA,1,NA,0.01793275217932752,NA,1,NA,FALSE,NA,TRUE,p4a3,FALSE,FALSE,muestra_insuficiente
5100,722,2,11,1,130,131,TRUE,0.10743801652892562,FALSE,1,TRUE,NA,1,NA,0.7303370786516854,NA,1,NA,TRUE,NA,TRUE,p4a3,FALSE,FALSE,muestra_insuficiente
6110,326,1,4,1,152,154,TRUE,1,TRUE,1,TRUE,1,NA,1,NA,1,NA,TRUE,NA,TRUE,NA,p4a3,FALSE,FALSE,muestra_insuficiente
6101,931,1,8,1,169,137,TRUE,0.0056248959893493095,FALSE,1,TRUE,1,NA,0.013485477178423237,NA,1,NA,FALSE,NA,TRUE,NA,p4a3,FALSE,FALSE,muestra_insuficiente
1204,338,2,2,1,149,154,TRUE,0.1722543352601156,FALSE,1,TRUE,1,NA,0.39313984168865435,NA,1,NA,FALSE,NA,TRUE,NA,p4a3,FALSE,TRUE,muestra_insuficiente
8150,813,4,11,1,306,234,TRUE,0.140625,FALSE,1,TRUE,NA,1,NA,0.5377855887521968,NA,1,NA,TRUE,NA,TRUE,p4a3,FALSE,FALSE,muestra_insuficiente
6110,312,1,1,1,162,160,TRUE,0.14740673339399454,FALSE,1,TRUE,NA,1,NA,0.7363636363636363,NA,1,NA,TRUE,NA,TRUE,p4a3,FALSE,TRUE,muestra_insuficiente
8150,713,6,6,2,547,543,TRUE,0.2647628267182962,FALSE,1,TRUE,1,1,1,0.15891472868217055,1,1,TRUE,FALSE,TRUE,TRUE,p4a3,FALSE,TRUE,muestra_insuficiente
4134,113,13,11,1,163,153,TRUE,1,TRUE,0.43714285714285717,FALSE,NA,1,NA,1,NA,1,NA,TRUE,NA,TRUE,p4a3,FALSE,FALSE,muestra_insuficiente
4134,113,12,12,1,133,132,TRUE,0.40797546012269936,FALSE,1,TRUE,1,NA,0.40797546012269936,NA,1,NA,FALSE,NA,TRUE,NA,p4a3,FALSE,TRUE,muestra_insuficiente
7201,311,3,11,1,41,41,TRUE,1,TRUE,1,TRUE,NA,1,NA,1,NA,1,NA,TRUE,NA,TRUE,p4a3,FALSE,FALSE,muestra_insuficiente
8150,512,4,7,1,30,38,TRUE,0.019986675549633577,FALSE,1,TRUE,NA,1,NA,0.019986675549633577,NA,1,NA,FALSE,NA,TRUE,p4a3,FALSE,FALSE,muestra_insuficiente
7121,468,8,8,1,34,34,TRUE,0.011785095320623917,FALSE,1,TRUE,1,NA,0.015461573442473852,NA,1,NA,FALSE,NA,TRUE,NA,p4a3,FALSE,TRUE,muestra_insuficiente
6121,482,1,8,1,43,49,TRUE,0.2986111111111111,FALSE,1,TRUE,1,NA,1,NA,1,NA,TRUE,NA,TRUE,NA,p4a3,FALSE,FALSE,muestra_insuficiente
2121,467,2,9,1,42,43,TRUE,1,TRUE,1,TRUE,1,NA,1,NA,1,NA,TRUE,NA,TRUE,NA,p4a3,FALSE,FALSE,muestra_insuficiente
7201,461,3,3,1,34,35,TRUE,0.004209483719202674,FALSE,1,TRUE,NA,1,NA,0.0274858528698464,NA,1,NA,FALSE,NA,TRUE,p4a3,FALSE,TRUE,muestra_insuficiente
2121,561,2,3,1,53,47,TRUE,1,TRUE,0.27167630057803466,FALSE,1,NA,1,NA,0.27167630057803466,NA,TRUE,NA,FALSE,NA,p4a3,FALSE,FALSE,muestra_insuficiente
1230,212,2,2,1,249,248,TRUE,0.5081632653061224,TRUE,1,TRUE,1,NA,0.5081632653061224,NA,1,NA,TRUE,NA,TRUE,NA,p4a3,FALSE,TRUE,muestra_insuficiente
5170,212,1,8,1,219,223,TRUE,0.8295454545454546,TRUE,1,TRUE,1,NA,0.8295454545454546,NA,1,NA,TRUE,NA,TRUE,NA,p4a3,FALSE,FALSE,muestra_insuficiente
1230,212,2,1,1,241,237,TRUE,0.49183673469387756,FALSE,1,TRUE,1,NA,0.49183673469387756,NA,1,NA,FALSE,NA,TRUE,NA,p4a3,FALSE,FALSE,muestra_insuficiente
7201,4690,3,3,425,116314,119321,TRUE,0.9784234389589415,TRUE,1,TRUE,209,216,0.9709737664287086,0.9853538141785471,1,1,TRUE,TRUE,TRUE,TRUE,p4a,TRUE,TRUE,candidato_estadistico_no_aprobado_semanticamente
5141,3360,2,7,78,18445,18585,TRUE,0.5337712698228961,TRUE,1,TRUE,37,41,0.5785705152793761,0.4967220048641218,1,1,TRUE,TRUE,TRUE,TRUE,p4a,FALSE,FALSE,sin_mayoria_reciproca_estable
5141,3340,2,8,4,612,620,TRUE,0.13365363616510156,FALSE,1,TRUE,1,3,0.047150259067357515,0.19667799169497924,1,1,FALSE,FALSE,TRUE,TRUE,p4a,FALSE,FALSE,muestra_insuficiente
7201,4662,3,6,24,8517,9132,TRUE,0.14834102586432116,FALSE,1,TRUE,12,12,0.09277161375370757,0.24467933152406798,1,1,FALSE,FALSE,TRUE,TRUE,p4a,FALSE,FALSE,sin_mayoria_reciproca_estable
1204,3360,2,1,3,410,383,TRUE,0.0488560533841754,FALSE,1,TRUE,1,2,0.02608695652173913,0.08548336959900528,1,1,FALSE,FALSE,TRUE,TRUE,p4a,FALSE,FALSE,muestra_insuficiente
