sinco3d,sinco4d,cmo_4d,label_cmo,propuesta,sinco4dproxy,sinco3dproxy,sinco_4d1,sinco_4d2,sinco_4d3,sinco3d1,sinco3d2,sinco3d3
818,8181,5370, Operadores de instalaciones y plantas en la generación y distribución de energía,auto,,,,,,,,
813,8134,5371,"Operadores de equipo de bombeo, ventilación y refrigeración",auto,,,,,,,,
819,8199,5379,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,auto,,,,,,,,
813,8135,5381, Operadores de máquinas y equipos para la refinación de petróleo y gas,auto,,,,,,,,
813,8132,5382, Operadores de máquinas para la fabricación de productos farmacéuticos y cosméticos,auto,,,,,,,,
813,8133,5383, Operadores de máquinas para la fabricación y ensamble de productos de plástico y hule,auto,,,,,,,,
819,8199,5389,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,auto,,,,,,,,
819,8199,5390,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,auto,,,,,,,,
923,9236,5401," Cargadores, abastecedores, empacadores manuales y similares en la fabricación de alimentos, bebidas y productos de tabaco",auto,,,,,,,,
921,9212,5411," Cargadores y similares en la extracción en minas, canteras y pozos",auto,,,,,,,,
923,9235,5420," Ayudantes, peones y similares en la fabricación de textiles y productos de cuero, piel y similares",auto,,,,,,,,
923,9235,5421," Cargadores, abastecedores, empacadores manuales y similares en la fabricación de textiles y productos de cuero, piel y similares.",auto,,,,,,,,
923,9234,5430," Ayudantes, peones y similares en la fabricación de productos de madera y papel y trabajos de impresión",auto,,,,,,,,
923,9234,5431," Cargadores, abastecedores, empacadores manuales y similares en la fabricación de productos de madera y papel, y trabajos de impresión",auto,,,,,,,,
923,9231,5440," Ayudantes, peones y similares en la fabricación metalúrgica y en la fabricación de maquinaria y productos metálicos, eléctricos y electrónicos",auto,,,,,,,,
923,9231,5441," Cargadores, abastecedores, empacadores manuales y similares en la fabricación metalúrgica y en la fabricación de maquinaria y productos metálicos, eléctricos y electrónicos",auto,,,,,,,,
923,9237,5450," Ayudantes, peones y similares en la fabricación de productos de cerámica, vidrio y otros minerales no metálicos",auto,,,,,,,,
923,9237,5451," Cargadores, abastecedores, empacadores manuales y similares en la fabricación de productos de cerámica, vidrio y otros minerales no metálicos",auto,,,,,,,,
922,9221,5460," Ayudantes, peones y similares en la construcción",auto,,,,,,,,
922,9222,5461, Cargadores y similares en la construcción,auto,,,,,,,,
923,9232,5470," Ayudantes, peones y similares en la generación de energía, la electrónica y las telecomunicaciones",auto,,,,,,,,
923,9233,5480," Ayudantes, peones y similares en la fabricación de químicos, petroquímica, hule, caucho y plástico",auto,,,,,,,,
923,9233,5481," Cargadores, abastecedores, empacadores manuales y similares en la fabricación de químicos, petroquímica, hule, caucho y plástico",auto,,,,,,,,
923,9239,5490," Otros ayudantes, peones y similares no clasificados anteriormente",auto,,,,,,,,
923,9239,5491," Otros cargadores, abastecedores, empacadores manuales y similares no clasificados anteriormente",auto,,,,,,,,
631,6311,5500, Conductores de maquinaria móvil agrícola y forestal,auto,,,,,,,,
835,8351,5501, Conductores de maquinaria móvil para la construcción,auto,,,,,,,,
835,8352,5502," Conductores de maquinaria móvil para el movimiento de mercancías en fábricas, puertos, comercios, etcétera",auto,,,,,,,,
833,8331,5510," Conductores de transporte en vías férreas (tren, metro y tren ligero)",auto,,,,,,,,
931,9312,5511, Ayudantes de conductores de transporte en vías férreas,auto,,,,,,,,
834,8342,5520," Conductores de autobuses, camiones, camionetas y automóviles de pasajeros",auto,,,,,,,,
834,8341,5521," Conductores de camiones, camionetas y automóviles de carga",auto,,,,,,,,
931,9311,5522, Ayudantes de conductor,auto,,,,,,,,
834,8349,5529, Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este subgrupo,auto,,,,,,,,
831,8311,5530, Conductores de transporte aéreo,auto,,,,,,,,
832,8321,5540, Conductores de transporte marítimo,auto,,,,,,,,
832,8323,5541, Oficiales maquinistas de transporte marítimo,auto,,,,,,,,
832,8322,5542, Oficiales de cubierta,auto,,,,,,,,
832,8324,5543," Lancheros, boteros y barqueros",auto,,,,,,,,
899,8999,5549, Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este subgrupo,auto,,,,,,,,
932,9321,5550, Conductores de vehículos de transporte de tracción humana,auto,,,,,,,,
932,9322,5551," Conductores de transporte de tracción animal (carretas, arrieros)",auto,,,,,,,,
899,8999,5590, Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este subgrupo,auto,,,,,,,,
152,1524,6102," Jefes de departamento, coordinadores y supervisores en administración de justicia y procesos electorales",auto,,,,,,,,
