source_code,source_label,n_destinations_4d,destinations_4d,target_4d_unique,n_destinations_3d,destinations_3d,target_3d_unique,n_destinations_2d,destinations_2d,target_2d_unique,n_destinations_1d,destinations_1d,target_1d_unique,maximum_unambiguous_level,decision_status_4d
4134,Cortadores y recolectores de leña,2,6225|9124,NA,2,622|912,NA,2,62|91,NA,2,6|9,NA,unresolved,official_multiple_unresolved
4135,Productores de carbón vegetal,1,6227,6227,1,622,622,1,62,62,1,6,6,4d,official_unique
4136,"Trabajadores en la recolección de plantas, hierbas y raíces no cultivadas",1,6226,6226,1,622,622,1,62,62,1,6,6,4d,official_unique
4139,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este subgrupo,2,6999|9121,NA,2,699|912,NA,2,69|91,NA,2,6|9,NA,unresolved,official_multiple_unresolved
4140,"Trabajadores en actividades de caza, trampería y similares",2,6231|9123,NA,2,623|912,NA,2,62|91,NA,2,6|9,NA,unresolved,official_multiple_unresolved
4150,Pescadores,2,6211|9122,NA,2,621|912,NA,2,62|91,NA,2,6|9,NA,unresolved,official_multiple_unresolved
4151,Trabajadores en actividades de acuacultura,2,6212|9122,NA,2,621|912,NA,2,62|91,NA,2,6|9,NA,unresolved,official_multiple_unresolved
4159,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,6999,6999,1,699,699,1,69,69,1,6,6,4d,official_unique
4160,Trabajadores en actividades de beneficio de productos agropecuarios,2,6117|6128,NA,2,611|612,NA,1,61,61,1,6,6,2d,official_multiple_unresolved
4161,Trabajadores en actividades de beneficio de productos pesqueros,1,6213,6213,1,621,621,1,62,62,1,6,6,4d,official_unique
4169,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,6999,6999,1,699,699,1,69,69,1,6,6,4d,official_unique
4170,"Capataces, caporales, mayorales y similares en actividades agropecuarias,silvícolas y pesqueras",2,6101|6201,NA,2,610|620,NA,2,61|62,NA,1,6,6,1d,official_multiple_unresolved
4190,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,6999,6999,1,699,699,1,69,69,1,6,6,4d,official_unique
5100,"Jefes, coordinadores y similares en la fabricación de alimentos, bebidas y productos de tabaco",2,1614|5101,NA,2,161|510,NA,2,16|51,NA,2,1|5,NA,unresolved,official_multiple_unresolved
5101,"Supervisores, inspectores y similares en la fabricación de alimentos, bebidas y productos de tabaco",1,7501,7501,1,750,750,1,75,75,1,7,7,4d,official_unique
5109,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,7501,7501,1,750,750,1,75,75,1,7,7,4d,official_unique
5110,"Jefes, coordinadores y similares en la extracción en minas, canteras y pozos",1,1612,1612,1,161,161,1,16,16,1,1,1,4d,official_unique
5111,"Supervisores, inspectores y similares en la extracción en minas, canteras y pozos",2,7101|8101,NA,2,710|810,NA,2,71|81,NA,2,7|8,NA,unresolved,official_multiple_unresolved
5119,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,8101,8101,1,810,810,1,81,81,1,8,8,4d,official_unique
5120,"Jefes, coordinadores y similares en la fabricación de textiles y productos de cuero, piel y similares",1,1614,1614,1,161,161,1,16,16,1,1,1,4d,official_unique
5121,"Supervisores, inspectores y similares en la fabricación de textiles y productos de cuero, piel y similares",1,8101,8101,1,810,810,1,81,81,1,8,8,4d,official_unique
5129,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,7301,7301,1,730,730,1,73,73,1,7,7,4d,official_unique
5130,"Jefes, coordinadores y similares en la fabricación de productos de madera y papel, y en trabajos de impresión",1,1614,1614,1,161,161,1,16,16,1,1,1,4d,official_unique
